F1,F2,F3,F4,TARGET,X,Y
4.24E-21,8,2.71E-20,6.78E-21,2,-144,154
6,11,8,3.10E-25,2,-99,76
1.32E-23,11,3,1.65E-24,2,-139,144
7.44E-24,14,6,1.59E-22,2,-139,142
2.65E-23,14,5.29E-23,8.47E-22,2,-115,116
1.03E-24,11,3,2.65E-23,2,-125,122
3.31E-24,14,5.29E-23,6.62E-23,2,-124,110
4.14E-24,14,2,3.97E-23,2,-118,102
7.75E-26,11,0.5,7.24E-25,2,-113,90
40,15,1.14E-13,10,3,-158,-139
48,15,0.25,11,3,-160,170
2,6,14,11,3,-140,127
22,3,13,18,3,-157,155
7,0.09375,19,16,3,-156,167
17,6,20,12,3,-155,173
19,0.1875,22,14,3,-164,172
41,9,22,18,3,-158,172
8,12,23,12,3,-149,161
12,12,23,16,3,-147,161
11,12,23,14,3,-148,157
15,9,19,10,3,-157,172
4,15,25,14,3,-155,163
6,18,24,13,3,-149,161
10,18,25,15,3,-158,163
15,21,24,16,3,-158,164
25,21,25,12,3,-148,156
15,30,23,12,3,-151,168
5,39,23,11,3,-160,133
10,30,24,11,3,-156,175
12,18,27,16,3,-159,161
15,36,23,15,3,-158,168
16,18,23,15,3,-161,168
17,15,25,21,3,-166,174
11,12,22,10,3,-150,174
31,15,24,12,3,-158,167
18,12,20,14,3,-147,164
25,18,24,16,3,-159,165
27,18,23,15,3,-160,172
18,21,25,12,3,-155,173
15,12,20,11,3,-139,170
12,21,23,13,3,-165,-63
5,21,28,16,3,-164,-108
7,15,20,12,3,-156,175
15,21,22,13,3,-155,165
5,21,23,16,3,-162,94
9,15,22,12,3,-154,170
22,18,22,18,3,-152,169
17,15,22,18,3,-158,-71
34,12,22,19,3,-160,-126
10,18,20,13,3,-148,135
12,15,22,12,3,-132,161
72,12,17,19,3,-150,169
11,9,16,15,3,-147,149
25,12,20,13,3,-153,5
24,12,19,11,3,-148,161
19,12,22,15,3,-148,138
53,9,18,13,3,-156,-48
15,15,20,14,3,-133,164
20,15,23,19,3,-165,-121
10,15,18,20,3,-155,9
24,12,19,17,3,-156,171
17,12,20,15,3,-151,171
18,18,20,14,3,-153,127
24,15,16,15,3,-159,-26
7,18,19,17,3,-160,-58
12,18,24,11,3,-114,156
20,18,22,13,3,-151,164
22,18,16,12,3,-125,158
10,18,22,21,3,-163,173
7,18,22,18,3,-155,169
16,21,25,19,3,-162,175
17,18,24,21,3,-159,-106
20,18,20,15,3,-158,-114
21,21,20,14,3,-155,174
14,18,22,16,3,-149,167
20,18,22,18,3,-152,169
17,21,23,14,3,-151,69
20,18,23,19,3,-162,51
18,21,20,17,3,-160,165
8,18,18,19,3,-155,168
7,18,22,16,3,-149,171
3,21,23,19,3,-146,165
6,21,23,15,3,-132,164
3,15,19,10,3,-125,152
2,18,19,20,3,-155,175
0.25,24,23,20,3,-156,165
1,24,22,23,3,-161,7
0.000976563,15,23,13,3,-157,24
0.125,24,27,19,3,-167,-57
24,15,30,29,3,160,164
74,21,32,33,3,129,151
3.1875,24,34,29,3,152,146
2.33E-10,15,33,37,3,167,176
2,21,34,30,3,168,-111
8,21,34,35,3,166,173
22,27,37,37,3,38,176
7,21,35,37,3,173,174
19,12,35,42,3,174,176
37,12,24,34,3,157,165
25,18,24,36,3,168,170
50,15,32,34,3,166,169
37,24,35,48,3,164,79
31,9,20,33,3,-125,-122
50,12,28,34,3,155,-108
25,24,32,35,3,-170,-144
37,27,30,38,3,164,159
43,24,33,35,3,-152,172
43,24,34,38,3,-166,171
37,24,33,32,3,25,78
56,18,32,41,3,98,-7
37,24,33,42,3,168,33
31,18,34,45,3,-134,149
31,21,34,47,3,-136,-45
50,18,34,47,3,7,-87
12,21,28,29,3,-78,174
25,18,24,51,3,52,157
43,15,30,39,3,-21,61
25,21,34,35,3,87,102
50,18,33,31,3,87,125
50,21,30,33,3,-148,-120
43,21,33,32,3,171,-45
56,24,34,36,3,-165,-150
37,21,24,34,3,-163,-140
31,21,19,31,3,-143,-91
31,18,22,36,3,-147,-130
42,18,32,41,3,-73,-147
38,15,29,33,3,-157,-74
27,21,30,36,3,-144,-142
41,15,32,35,3,157,-157
49,21,32,37,3,137,-21
50,21,32,35,3,172,-122
53,21,29,32,3,-42,-154
35,24,33,34,3,172,-125
51,24,38,36,3,175,-135
61,21,33,35,3,168,-160
49,12,35,34,3,127,68
35,12,34,35,3,126,160
63,18,34,30,3,14,54
4.34E-19,3,30,34,3,24,176
31,9,35,35,3,-6,-86
49,15,32,36,3,-154,178
57,15,33,53,3,164,78
53,24,32,40,3,-129,137
36,27,34,44,3,168,165
42,18,30,33,3,-168,178
27,21,23,40,3,129,170
41,21,30,39,3,171,175
46,3,25,32,3,173,-161
56,15,25,39,3,175,-158
43,12,34,35,3,144,116
50,24,34,38,3,172,158
50,18,34,30,3,138,159
57,18,37,47,3,173,-33
41,18,34,36,3,-134,-53
14,18,34,34,3,-119,-2
32,18,35,41,3,-157,-65
100,9,32,33,3,-165,-123
100,3,7,3,3,-141,-130
47,3,7,5,3,-142,-137
26,0.1875,4,5,3,-144,-132
42,1.85E-22,12,1.39E-17,3,-134,-129
45,1.43E-06,17,6,3,-141,-140
25,5.65E-27,9,9,3,-147,-143
23,6.51E-19,10,2,3,-147,-122
23,9.26E-23,7,7,3,-143,-140
40,7,15,8,3,-143,-140
48,8.33E-17,10,7,3,-130,-127
30,0.375,17,11,3,-134,-129
51,7,17,7,3,-149,-144
,,,,7,-78,-7
,,,,7,-84,-3
,,,,7,-81,-7
,,,,7,-74,-7
,,,,7,-73,-15
,,,,7,-69,-13
,,,,7,-61,-15
,,,,7,-64,-18
,,,,7,-65,-11
,,,,7,-66,-14
,,,,7,-66,-21
,,,,7,-62,-8
,,,,7,-64,-13
,,,,7,-61,-20
,,,,7,-61,-17
,,,,7,-118,-55
,,,,7,-76,4
,,,,7,-71,-6
,,,,7,-65,0
,,,,7,-66,0
,,,,7,-80,-14
,,,,7,-78,-1
,,,,7,-68,-10
,,,,7,-68,-7
,,,,7,-68,-8
,,,,7,-109,-55
,,,,7,-76,-11
,,,,7,-86,-11
,,,,7,-85,-7
,,,,7,-85,-12
,,,,7,-76,-17
,,,,7,-85,-8
,,,,7,-77,-8
,,,,7,-78,-7
,,,,7,-69,-13
,,,,7,-80,-13
,,,,7,-71,-7
,,,,7,-61,-26
,,,,7,-110,-1
,,,,7,-77,-18
,,,,7,-87,-15
,,,,7,-55,-60
,,,,7,-76,-4
,,,,7,-75,-3
,,,,7,-70,-26
,,,,7,-59,-30
,,,,7,-67,-18
,,,,7,-63,-23
,,,,7,-60,-20
,,,,7,-65,-22
,,,,7,-59,-38
,,,,7,-57,-28
,,,,7,-62,-15
,,,,7,-65,-24
,,,,7,-74,-15
,,,,7,-54,-26
,,,,7,-72,-13
,,,,7,-87,-14
,,,,7,-77,-11
,,,,7,-79,-4
,,,,7,-96,-14
,,,,7,-103,-24
,,,,7,-97,-21
,,,,7,-85,-15
,,,,7,-77,-17
,,,,7,-83,-13
,,,,7,-82,-13
,,,,7,-77,-28
,,,,7,-82,-20
,,,,7,-83,-20
,,,,7,-79,-4
,,,,7,-74,-10
,,,,7,-70,-15
,,,,7,-142,115
,,,,7,-81,-22
,,,,7,-80,-32
,,,,7,-68,-26
,,,,7,-63,-26
,,,,7,-63,-20
,,,,7,-70,-19
,,,,7,-60,-28
,,,,7,-54,-33
,,,,7,-61,-17
,,,,7,-52,-26
,,,,7,-67,-28
,,,,7,-67,-22
,,,,7,-88,-15
,,,,7,-66,-28
,,,,7,-82,-25
,,,,7,-72,-20
,,,,7,-78,-19
,,,,7,-71,-27
,,,,7,-75,-17
,,,,7,-70,-34
,,,,7,-92,-31
,,,,7,-76,-33
,,,,7,-63,-20
,,,,7,-70,-17
,,,,7,-74,-6
,,,,7,-74,-13
,,,,7,-71,-21
,,,,7,-79,-17
,,,,7,-75,-8
,,,,7,-75,-22
,,,,7,-74,-18
,,,,7,-70,-23
,,,,7,-90,-5
,,,,7,-84,-12
,,,,7,-83,-5
,,,,7,-82,-12
,,,,7,-96,-13
,,,,7,-71,-13
,,,,7,-78,-7
,,,,7,-69,-15
,,,,7,-63,-28
,,,,7,-73,-13
,,,,7,-79,-10
,,,,7,-68,-23
,,,,7,-67,-16
,,,,7,-88,-11
,,,,7,-78,-14
,,,,7,-74,-13
,,,,7,-64,-10
,,,,7,-68,-3
,,,,7,-64,-4
,,,,7,-68,-3
,,,,7,-62,-9
,,,,7,-62,-5
,,,,7,-64,-5
,,,,7,-68,-6
,,,,7,-61,-7
,,,,7,-64,-5
,,,,7,-68,-4
,,,,7,-60,-8
,,,,7,-62,-6
,,,,7,-61,-6
,,,,7,-62,-3
,,,,7,-66,-9
,,,,7,-63,-10
,,,,7,-64,-11
,,,,7,-63,-13
,,,,7,-65,-5
,,,,7,-56,-5
,,,,7,-65,-4
,,,,7,-67,-7
,,,,7,-68,-5
,,,,7,-77,-1
,,,,7,-73,-5
,,,,7,-72,-4
,,,,7,-65,-4
,,,,7,-79,-5
,,,,7,-70,-4
,,,,7,-73,-3
,,,,7,-73,-8
,,,,7,-65,-9
,,,,7,-67,-10
,,,,7,-61,-4
,,,,7,-66,-8
,,,,7,-62,-8
,,,,7,-59,-5
,,,,10,-118,123
,,,,10,-124,122
,,,,10,-105,58
,,,,10,-111,41
,,,,10,-98,38
,,,,10,-113,69
,,,,10,-112,92
,,,,10,-117,101
,,,,10,-133,120
,,,,10,-124,101
,,,,10,-104,70
,,,,10,-113,47
,,,,10,-123,91
,,,,10,-122,87
,,,,10,-117,86
,,,,10,-121,95
,,,,10,-107,94
,,,,10,-116,93
,,,,10,-100,82
,,,,10,-89,51
,,,,10,-116,67
,,,,10,-92,47
,,,,10,-92,42
,,,,10,-106,20
,,,,10,-107,76
,,,,10,-110,90
,,,,10,-125,78
,,,,10,-131,47
,,,,10,-122,-3
,,,,10,-134,103
,,,,10,-119,75
,,,,10,-139,85
,,,,10,-129,79
,,,,10,-127,33
,,,,10,-126,95
,,,,10,-110,35
,,,,10,-112,85
,,,,10,-108,78
,,,,10,-102,55
,,,,10,-96,51
,,,,10,-121,89
,,,,10,-113,40
,,,,10,-110,36
,,,,10,-119,43
,,,,10,-95,36
,,,,10,-98,21
,,,,10,-118,11
,,,,10,-97,62
,,,,10,-87,34
,,,,10,-105,13
,,,,10,-71,62
,,,,10,-106,5
,,,,10,-82,43
,,,,10,-77,53
,,,,10,-91,60
,,,,10,-80,84
,,,,10,-111,84
,,,,10,-105,74
,,,,10,-124,108
,,,,10,-116,66
,,,,10,-118,104
,,,,10,-109,83
,,,,10,-88,62
,,,,10,-92,92
,,,,10,-93,78
,,,,10,-107,73
,,,,10,-115,12
,,,,10,-117,34
,,,,10,-112,86
,,,,10,-127,72
,,,,10,-122,60
,,,,10,-107,82
,,,,10,-125,107
,,,,10,-102,90
,,,,10,-114,108
,,,,10,-112,85
,,,,10,-73,75
,,,,10,-81,94
,,,,10,-114,110
,,,,10,-122,73
,,,,10,-69,6
,,,,10,-117,32
,,,,10,-120,49
,,,,10,-127,95
,,,,10,-82,126
,,,,10,-135,43
,,,,10,-139,67
,,,,10,-122,55
,,,,10,-119,60
,,,,10,-153,97
,,,,10,-133,93
,,,,10,-140,100
,,,,10,-161,138
,,,,10,-112,-8
,,,,10,-139,33
,,,,10,-147,37
,,,,10,-131,61
,,,,10,-129,91
,,,,10,-132,58
,,,,10,-128,69
,,,,10,-156,124
,,,,10,-127,22
,,,,10,-134,63
,,,,10,-127,52
,,,,10,-158,121
,,,,10,-152,104
,,,,10,-123,94
,,,,10,-154,80
,,,,10,-127,11
,,,,10,-143,87
,,,,10,-159,132
,,,,10,-135,47
,,,,10,-155,123
,,,,10,-144,91
,,,,10,-121,63
,,,,10,-128,104
,,,,10,-151,91
,,,,10,-123,-2
,,,,10,-101,-19
,,,,10,-122,-2
,,,,10,-160,103
,,,,10,-147,81
,,,,10,-104,89
,,,,10,-138,52
,,,,10,-129,30
,,,,10,-159,70
,,,,10,-166,96
,,,,10,-161,-72
,,,,10,-122,-11
,,,,10,-139,51
,,,,10,-113,-4
,,,,10,-111,-12
,,,,10,-127,42
,,,,10,-106,-14
,,,,10,-113,42
,,,,10,-105,100
,,,,10,-130,66
,,,,10,-116,89
,,,,10,-127,84
,,,,10,-132,89
,,,,10,-117,80
,,,,10,-107,35
,,,,10,-83,8
,,,,10,-117,37
,,,,10,-79,-26
,,,,10,-114,-12
,,,,10,-101,3
,,,,10,-109,5
,,,,10,-115,56
,,,,10,-95,1
,,,,10,-120,20
,,,,10,-129,91
,,,,10,-117,103
,,,,10,-93,81
,,,,10,-22,102
,,,,10,-89,38
,,,,10,-98,41
,,,,10,-101,14
,,,,10,-75,47
,,,,10,-104,37
,,,,16,-41,-105
,,,,16,-53,-106
,,,,16,-52,-106
,,,,16,-26,-104
,,,,16,-28,-110
,,,,16,-44,-110
,,,,16,-129,-136
,,,,16,-120,-127
,,,,16,-63,-115
,,,,16,-98,-112
,,,,16,-37,-99
,,,,16,-87,-84
,,,,16,-47,-96
,,,,16,-70,-108
,,,,16,-42,-97
,,,,16,-54,-101
,,,,16,-46,-103
,,,,16,-33,-105
,,,,16,-40,-75
,,,,16,-56,-62
,,,,16,-33,-87
,,,,16,-51,-82
,,,,16,-57,-84
,,,,16,-52,-89
,,,,16,-60,-82
,,,,16,-50,-79
,,,,16,-37,-95
,,,,16,-50,-83
,,,,16,-24,-95
,,,,16,-25,-104
,,,,16,-36,-105
,,,,16,-37,-106
,,,,16,-29,-106
,,,,16,-67,-110
,,,,16,-23,-97
,,,,16,-16,-98
,,,,16,-28,-97
,,,,16,-24,-100
,,,,16,-21,-98
,,,,16,-23,-107
,,,,16,-17,-99
,,,,16,-19,-100
,,,,16,-24,-99
,,,,16,-29,-99
,,,,16,-21,-106
,,,,16,-34,-104
,,,,16,-32,-107
,,,,16,-42,-107
,,,,16,-39,-101
,,,,16,-167,510
,,,,16,-61,-121
,,,,16,-29,-92
,,,,16,-34,-83
,,,,16,-46,-76
,,,,16,-38,-84
,,,,16,-40,-92
,,,,16,-55,-84
,,,,16,-32,-88
,,,,16,-58,-81
,,,,16,-50,-92
,,,,16,-45,-102
,,,,16,-49,-97
,,,,16,-52,-102
,,,,16,-74,-102
,,,,16,-33,-84
,,,,16,-31,-88
,,,,16,3,-56
,,,,16,5,-72
,,,,16,6,-56
,,,,16,0,-69
,,,,16,5,-68
,,,,16,2,-70
,,,,16,1,-78
,,,,16,2,-73
,,,,16,4,-72
,,,,16,7,-64
,,,,16,0,-81
,,,,16,-2,-71
,,,,16,-6,-75
,,,,16,-27,-88
,,,,16,-3,-88
,,,,16,-2,-87
,,,,16,-3,-91
,,,,16,-5,-87
,,,,16,2,-78
,,,,16,-2,-72
,,,,16,3,-75
,,,,16,-12,-104
,,,,16,-4,-95
,,,,16,6,-13
,,,,16,7,-41
,,,,16,6,-54
,,,,16,9,-51
,,,,16,10,-54
,,,,16,5,-53
,,,,16,5,-55
,,,,16,5,-71
,,,,16,5,-65
,,,,16,2,-63
,,,,16,5,-64
,,,,16,3,-54
,,,,16,4,-60
,,,,16,4,-60
,,,,16,5,-63
,,,,16,0,-69
,,,,16,3,-71
,,,,16,3,-67
,,,,16,4,-55
,,,,16,4,-67
,,,,16,3,-63
,,,,16,3,-69
,,,,16,3,-78
,,,,16,2,-74
,,,,16,1,-65
,,,,16,2,-69
,,,,16,1,-73
,,,,16,5,-67
,,,,16,1,-80
,,,,16,3,-77
,,,,16,0,-82
,,,,16,5,-65
,,,,16,3,-65
,,,,16,3,-64
,,,,16,6,-59
,,,,16,8,-55
,,,,16,4,-66
,,,,16,1,-72
,,,,16,4,-65
,,,,16,7,-71
,,,,16,5,-83
,,,,16,0,-74
,,,,16,2,-65
,,,,16,2,-72
,,,,16,4,-67
,,,,16,1,-73
,,,,16,5,-61
,,,,16,-5,-57
,,,,16,4,-78
,,,,16,0,-81
,,,,16,0,-77
,,,,16,2,-75
,,,,16,0,-73
,,,,16,-2,-73
,,,,16,-8,-65
,,,,16,2,-73
,,,,16,-3,-79
,,,,16,-4,-70
,,,,16,-1,-78
,,,,16,0,-82
,,,,16,-2,-89
,,,,16,-6,-86
,,,,16,-4,-83
,,,,16,-1,-78
,,,,16,-8,-82
,,,,16,-10,-68
,,,,16,-5,-74
,,,,16,-6,-68
,,,,16,-5,-82
,,,,16,-4,-71
,,,,16,-7,-83
,,,,26,-7,-66
,,,,26,-43,-44
,,,,26,0,-49
,,,,26,13,-68
,,,,26,-10,-93
,,,,26,-19,-87
,,,,26,-22,-98
,,,,26,-47,-119
,,,,26,-39,-108
,,,,26,-42,-95
,,,,26,-54,-101
,,,,26,-43,-115
,,,,26,-34,-94
,,,,26,-40,-103
,,,,26,-73,-100
,,,,26,-89,-112
,,,,26,-46,-104
,,,,26,-69,-98
,,,,26,-41,-89
,,,,26,-20,-96
,,,,26,-43,-101
,,,,26,-15,-96
,,,,26,-32,-92
,,,,26,-14,-91
,,,,26,-1,-116
,,,,26,-16,-87
,,,,26,10,-111
,,,,26,-38,-95
,,,,26,-68,-125
,,,,26,-63,-97
,,,,26,-56,-91
,,,,26,-33,-80
,,,,26,-32,-92
,,,,26,25,-128
,,,,26,12,-99
,,,,26,-65,-120
,,,,26,-7,-108
,,,,26,-28,-97
,,,,26,3,-120
,,,,26,-38,-106
,,,,26,-37,-105
,,,,26,13,-112
,,,,26,-20,-104
,,,,26,-16,-94
,,,,26,-26,-101
,,,,26,-45,-123
,,,,26,-18,-123
,,,,26,-58,-109
,,,,26,-50,-109
,,,,26,-31,-102
,,,,26,-14,-93
,,,,26,-8,-106
,,,,26,-29,-97
,,,,26,-24,-92
,,,,26,-24,-91
,,,,26,-14,-94
,,,,26,-20,-96
,,,,26,-39,-96
,,,,26,-32,-120
,,,,26,-31,-124
,,,,26,11,-129
,,,,26,-70,-128
,,,,26,-45,-103
,,,,26,-28,-123
,,,,26,-50,-124
,,,,26,-30,-96
,,,,26,-62,-98
,,,,26,-40,-100
,,,,26,-52,-72
,,,,26,-26,-77
,,,,26,6,-90
,,,,26,-5,-87
,,,,26,-15,-92
,,,,26,-9,-90
,,,,26,-11,-95
,,,,26,-11,-88
,,,,26,-8,-75
,,,,26,-41,-85
,,,,26,-8,-97
,,,,26,-15,-95
,,,,26,1,-101
,,,,26,-7,-91
,,,,26,-13,-67
,,,,26,6,-103
,,,,26,-9,-69
,,,,26,3,-99
,,,,26,10,-97
,,,,26,-120,46
,,,,26,-5,5
,,,,26,-18,-89
,,,,26,-12,-108
,,,,26,0,-108
,,,,26,-15,-99
,,,,26,-25,-89
,,,,26,-35,-108
,,,,26,-25,-74
,,,,26,-15,-103
,,,,26,-36,-97
,,,,26,-7,-99
,,,,26,-11,-80
,,,,26,-26,-82
,,,,26,-10,-78
,,,,26,-20,-99
,,,,26,-22,-112
,,,,26,-28,-93
,,,,26,-13,-109
,,,,26,-9,-111
,,,,26,16,-122
,,,,26,-1,-106
,,,,26,-4,-108
,,,,26,-62,-93
,,,,26,-23,-102
,,,,26,-4,-99
,,,,26,-40,-103
,,,,26,-10,-105
,,,,26,-7,-107
,,,,26,0,-103
,,,,26,-26,-96
,,,,26,-14,-107
,,,,26,-14,-104
,,,,26,-72,-66
,,,,26,-19,-95
,,,,26,-51,-83
,,,,26,-13,-80
,,,,26,-16,-84
,,,,26,-1,-98
,,,,26,-5,-103
,,,,26,-10,-96
,,,,26,-23,-68
,,,,26,-2,-86
,,,,26,-7,-96
,,,,26,-25,-96
,,,,26,-2,-114
,,,,26,-23,-115
,,,,26,-47,-92
,,,,26,-43,-88
,,,,26,-23,-92
,,,,26,14,-100
,,,,26,39,-110
,,,,26,3,-112
,,,,26,-2,-105
,,,,26,71,-119
,,,,26,-37,-102
,,,,26,3,-97
,,,,26,0,-103
,,,,26,-13,-91
,,,,26,-19,-83
,,,,26,12,-110
,,,,26,-25,-89
,,,,26,-24,-110
,,,,26,5,-100
,,,,26,-20,-79
,,,,26,-14,-79
,,,,26,-74,-47
,,,,26,-15,-73
,,,,26,-36,-66
,,,,26,-20,-94
,,,,26,-71,-77
,,,,26,44,-99
,,,,26,56,-97
,,,,18,-78,109
,,,,18,-104,121
,,,,18,-96,115
,,,,18,-86,104
,,,,18,-94,88
,,,,18,-104,121
,,,,18,-83,97
,,,,18,-81,110
,,,,18,-65,97
,,,,18,-80,95
,,,,18,-64,94
,,,,18,-61,86
,,,,18,-75,91
,,,,18,-84,104
,,,,18,-65,92
,,,,18,-44,86
,,,,18,-47,74
,,,,18,-48,89
,,,,18,-36,96
,,,,18,-57,93
,,,,18,-53,91
,,,,18,-67,96
,,,,18,-54,84
,,,,18,-59,86
,,,,18,-71,91
,,,,18,-84,99
,,,,18,-49,75
,,,,18,-70,96
,,,,18,-94,102
,,,,18,-87,101
,,,,18,-62,96
,,,,18,-90,109
,,,,18,-91,102
,,,,18,-71,97
,,,,18,-81,95
,,,,18,-78,81
,,,,18,-105,109
,,,,18,-94,104
,,,,18,-70,91
,,,,18,-92,96
,,,,18,-97,111
,,,,18,-61,96
,,,,18,-100,101
,,,,18,-89,100
,,,,18,-76,96
,,,,18,-74,93
,,,,18,-82,95
,,,,18,-63,82
,,,,18,-87,94
,,,,18,-97,108
,,,,18,-91,101
,,,,18,-88,98
,,,,18,-93,96
,,,,18,-98,106
,,,,18,-87,96
,,,,18,-98,101
,,,,18,-88,101
,,,,18,-115,112
,,,,18,-90,78
,,,,18,-66,79
,,,,18,-111,98
,,,,18,-80,66
,,,,18,-62,106
,,,,18,-58,93
,,,,18,-45,102
,,,,18,-68,121
,,,,18,-63,109
,,,,18,-93,109
,,,,18,-102,114
,,,,18,-70,110
,,,,18,-38,98
,,,,18,-54,101
,,,,18,-74,114
,,,,18,-66,107
,,,,18,-110,101
,,,,18,-35,79
,,,,18,-47,99
,,,,18,-80,109
,,,,18,-92,106
,,,,18,-46,86
,,,,18,-141,139
,,,,18,-121,129
,,,,18,-88,126
,,,,18,-86,114
,,,,18,-111,125
,,,,18,-111,124
,,,,18,-87,121
,,,,18,-92,127
,,,,18,-120,129
,,,,18,-62,115
,,,,18,-120,128
,,,,18,-121,125
,,,,18,-78,116
,,,,18,-94,113
,,,,18,-79,116
,,,,18,-80,113
,,,,18,-53,99
,,,,18,-76,110
,,,,18,-51,113
,,,,18,-78,114
,,,,18,-84,122
,,,,18,-57,116
,,,,18,-99,117
,,,,18,-91,121
,,,,18,-115,126
,,,,18,-139,139
,,,,18,-96,122
,,,,18,-98,121
,,,,18,-99,116
,,,,18,-68,116
,,,,18,-104,117
,,,,18,-110,120
,,,,18,-94,116
,,,,18,-106,123
,,,,18,-103,121
,,,,18,-124,129
,,,,18,-124,129
,,,,18,-105,120
,,,,18,-99,121
,,,,18,-92,121
,,,,18,-113,122
,,,,18,-129,131
,,,,18,-126,132
,,,,18,-127,133
,,,,18,-52,104
,,,,18,-65,107
,,,,18,-63,104
,,,,18,-125,130
,,,,18,-129,131
,,,,18,-127,133
,,,,18,-146,144
,,,,18,-72,127
,,,,18,-94,119
,,,,18,-100,117
,,,,18,-95,119
,,,,18,-124,128
,,,,18,-119,124
,,,,18,-110,124
,,,,18,-89,120
,,,,18,-107,123
,,,,18,-120,126
,,,,18,-85,116
,,,,18,-107,123
,,,,18,-102,119
,,,,18,-107,124
,,,,18,-115,126
,,,,18,-112,125
,,,,18,-89,116
,,,,18,-125,128
,,,,18,-107,118
,,,,18,-109,127
,,,,18,-126,131
,,,,18,-92,125
,,,,18,-111,127
,,,,18,-120,130
,,,,18,-124,132
,,,,18,-115,126
,,,,18,-35,108
,,,,18,-101,118
,,,,18,-77,113
